author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Столица Нижний;developer;https://nn.cian.ru/sale/flat/288715527/;Нижний Новгород;sale;flat;12;18;1;35.5;6309415;Сормовский;;;Буревестник;Дома на Культуре ЖК
Меридиан-Недвижимость;real_estate_agent;https://nn.cian.ru/sale/flat/302021976/;Нижний Новгород;sale;flat;2;9;1;21.0;2800000;Московский; Мечникова;79;;
Столица Нижний;developer;https://nn.cian.ru/sale/flat/300568625/;Нижний Новгород;sale;flat;5;17;1;41.3;11772854;Нижегородский;;;Горьковская;Дельвиг ЖК
ННДК;real_estate_agent;https://nn.cian.ru/sale/flat/290173303/;Нижний Новгород;sale;flat;9;9;1;21.8;3400000;Канавинский;Авангардная ;14;Бурнаковская;
Добрострой;developer;https://nn.cian.ru/sale/flat/299319552/;Нижний Новгород;sale;flat;16;25;1;63.68;15410560;Нижегородский;Сенная площадь;1;Горьковская;Парус
ННДК;real_estate_agent;https://nn.cian.ru/sale/flat/292128608/;Нижний Новгород;sale;flat;8;9;1;35.0;5140000;Канавинский; Карла Маркса;12;;
ННДК;developer;https://nn.cian.ru/sale/flat/296462315/;Нижний Новгород;sale;flat;13;19;1;42.7;9290000;Нижегородский; Александра Хохлова;7;Горьковская;Корица
ННДК;real_estate_agent;https://nn.cian.ru/sale/flat/295401932/;Нижний Новгород;sale;flat;3;3;1;41.7;7500000;Советский;Агрономическая ;39;;
ННДК;developer;https://nn.cian.ru/sale/flat/296462438/;Нижний Новгород;sale;flat;17;17;1;44.55;8990000;Советский;;3;Горьковская;Бекетов Парк ЖК
ННДК;real_estate_agent;https://nn.cian.ru/sale/flat/294567128/;Нижний Новгород;sale;flat;5;14;1;33.7;5000000;Канавинский; Сергея Акимова;5;Стрелка;
Андор;developer;https://nn.cian.ru/sale/flat/295730961/;Нижний Новгород;sale;flat;5;6;1;42.8;16270000;Нижегородский;;;Горьковская;Приоритет ЖК
АРБАТ;real_estate_agent;https://nn.cian.ru/sale/flat/299226537/;Нижний Новгород;sale;flat;3;19;1;44.5;6800000;Приокский; Цветочная;7;;
АРСЕНАЛ;developer;https://nn.cian.ru/sale/flat/298036167/;Нижний Новгород;sale;flat;6;10;1;42.4;7820129;Нижегородский;Деловая ;22;Горьковская;Облака
Риэлтекс;real_estate_agent;https://nn.cian.ru/sale/flat/292769121/;Нижний Новгород;sale;flat;2;9;1;33.9;5500000;Нижегородский;Кудьминская ;3;;
Андор;developer;https://nn.cian.ru/sale/flat/297174852/;Нижний Новгород;sale;flat;2;27;1;36.01;5480000;Канавинский;;7;Ленинская;Мед ЖК
АРБАТ;real_estate_agent;https://nn.cian.ru/sale/flat/300571892/;Нижний Новгород;sale;flat;4;22;1;33.0;6100000;Ленинский; Июльских Дней;1к2;;
GloraX;representative_developer;https://nn.cian.ru/sale/flat/293622980/;Нижний Новгород;sale;flat;7;32;1;39.69;10999999;Нижегородский; Гаршина;;;GloraX Premium Черниговская
САМПО-СИТИ;real_estate_agent;https://nn.cian.ru/sale/flat/301955673/;Нижний Новгород;sale;flat;2;5;1;30.4;3650000;Сормовский; Циолковского;27;;
Андор;developer;https://nn.cian.ru/sale/flat/295918552/;Нижний Новгород;sale;flat;2;24;1;44.13;7750000;Советский;;;Горьковская;Янтарь ЖК
Риэлтекс;real_estate_agent;https://nn.cian.ru/sale/flat/293039394/;Нижний Новгород;sale;flat;1;9;1;33.9;4360000;Сормовский; Дмитрия Павлова;2;;
Юника НН;developer;https://nn.cian.ru/sale/flat/296180552/;Нижний Новгород;sale;flat;7;13;1;44.7;13857000;Советский;;;Горьковская;Резиденция ЖК
САМПО-СИТИ;real_estate_agent;https://nn.cian.ru/sale/flat/302623086/;Нижний Новгород;sale;flat;2;2;1;30.7;2900000;Сормовский;Полесская ;11;;
АГРОСПЕЦТЕХ;developer;https://nn.cian.ru/sale/flat/298716286/;Нижний Новгород;sale;flat;17;19;1;36.9;7380000;Сормовский;;;Буревестник;Сормово Парк
ID 31321496;homeowner;https://nn.cian.ru/sale/flat/302843207/;Нижний Новгород;sale;flat;5;5;1;29.7;4200000;Советский; Козицкого;5к1;Горьковская;
Андор;developer;https://nn.cian.ru/sale/flat/297175203/;Нижний Новгород;sale;flat;2;24;1;38.15;6840000;Ленинский;;1;Ленинская;Бугров ЖК
ID 115666662;homeowner;https://nn.cian.ru/sale/flat/301082111/;Нижний Новгород;sale;flat;4;10;1;40.9;10200000;Советский; Маршала Баграмяна;1;Горьковская;Маршал Град
Андор;developer;https://nn.cian.ru/sale/flat/300656122/;Нижний Новгород;sale;flat;2;7;1;35.96;6590000;Московский;Калининский мкр;;Буревестник;Город Времени ЖК
ID 16351962;homeowner;https://nn.cian.ru/sale/flat/280430913/;Нижний Новгород;sale;flat;4;10;1;42.0;6199999;Московский;Народная ;50;Бурнаковская;
